"subj_inits","subj_email","lang","lang_other","years_train","device_samp_hz","headphoneCheck","task","cur_trial","trial_type","freq1","freq2","response","correct","staircase_track","staircase","staircase_track0","staircase_track1","diff"
"YS","yaels","English","NA","0","44100","3","4","1","1","440","415.3046975799449","0","false","NaN","0","0","NaN","1"
"YS","yaels","English","NA","0","44100","3","4","2","1","440","293.6647679174074","0","false","NaN","1","NaN","0","7"
"YS","yaels","English","NA","0","44100","3","4","3","1","440","412.6477949599932","1","true","NaN","0","1","NaN","1.1111111111111112"
"YS","yaels","English","NA","0","44100","3","4","4","1","440","246.9416506280618","1","true","NaN","1","NaN","1","10"
"YS","yaels","English","NA","0","44100","3","4","5","0","440","472.52287820425596","1","false","NaN","0","0","NaN","1.2345679012345678"
"YS","yaels","English","NA","0","44100","3","4","6","0","440","880","0","true","NaN","1","NaN","2","14.285714285714286"
"YS","yaels","English","NA","0","44100","3","4","7","1","440","406.4820601068027","0","false","NaN","0","0","NaN","1.371742112482853"
"YS","yaels","English","NA","0","44100","3","4","8","1","440","220","0","false","NaN","1","NaN","0","20.408163265306126"
"YS","yaels","English","NA","0","44100","3","4","9","0","440","480.49342260260073","1","false","NaN","0","0","NaN","1.5241579027587255"
"YS","yaels","English","NA","0","44100","3","4","10","0","440","880","1","false","NaN","1","NaN","0","29.154518950437325"
"YS","yaels","English","NA","0","44100","3","4","11","1","440","398.9969703903529","0","false","NaN","0","0","NaN","1.6935087808430282"
"YS","yaels","English","NA","0","44100","3","4","12","1","440","220","1","true","NaN","1","NaN","1","41.64931278633904"
"YS","yaels","English","NA","0","44100","3","4","13","0","440","490.51929674445347","0","true","NaN","0","1","NaN","1.8816764231589203"
"YS","yaels","English","NA","0","44100","3","4","14","0","440","880","1","false","NaN","1","NaN","0","59.49901826619863"
"YS","yaels","English","NA","0","44100","3","4","15","1","440","389.94596565694724","0","false","NaN","0","0","NaN","2.090751581287689"
"YS","yaels","English","NA","0","44100","3","4","16","0","440","880","1","false","NaN","1","NaN","0","84.99859752314092"
"YS","yaels","English","NA","0","44100","3","4","17","1","440","384.7484232929934","1","true","NaN","0","1","NaN","2.3230573125418768"
"YS","yaels","English","NA","0","44100","3","4","18","1","440","220","1","true","NaN","1","NaN","1","121.42656789020131"
"YS","yaels","English","NA","0","44100","3","4","19","0","440","510.7443795669641","0","true","NaN","0","2","NaN","2.581174791713196"
"YS","yaels","English","NA","0","44100","3","4","20","0","440","880","0","true","NaN","1","NaN","2","173.46652555743046"
"YS","yaels","English","NA","0","44100","3","4","21","0","440","519.2758709436589","1","false","NaN","0","0","NaN","2.8679719907924404"
"YS","yaels","English","NA","0","44100","3","4","22","1","440","220","1","true","NaN","1","NaN","3","247.80932222490068"
"YS","yaels","English","NA","0","44100","3","4","23","0","440","528.9225505640984","0","true","NaN","0","1","NaN","3.1866355453249335"
"YS","yaels","English","NA","0","44100","3","4","24","0","440","880","0","true","NaN","1","NaN","4","173.46652555743046"
"YS","yaels","English","NA","0","44100","3","4","25","0","440","539.8514098041691","0","true","NaN","0","2","NaN","3.5407061614721482"
"YS","yaels","English","NA","0","44100","3","4","26","0","440","880","0","true","NaN","1","NaN","5","121.42656789020131"
"YS","yaels","English","NA","0","44100","3","4","27","0","440","552.2596361729323","0","true","NaN","0","3","NaN","3.9341179571912757"
"YS","yaels","English","NA","0","44100","3","4","28","1","440","220","1","true","NaN","1","NaN","6","84.99859752314092"
"YS","yaels","English","NA","0","44100","3","4","29","1","440","358.61719814759437","1","true","NaN","0","4","NaN","3.5407061614721482"
"YS","yaels","English","NA","0","44100","3","4","30","1","440","220","1","true","NaN","1","NaN","7","59.49901826619864"
"YS","yaels","English","NA","0","44100","3","4","31","0","440","528.9225505640984","0","true","NaN","0","5","NaN","3.1866355453249335"
"YS","yaels","English","NA","0","44100","3","4","32","1","440","220","1","true","NaN","1","NaN","8","41.649312786339046"
"YS","yaels","English","NA","0","44100","3","4","33","1","440","372.82687456318445","1","true","NaN","0","6","NaN","2.8679719907924404"
"YS","yaels","English","NA","0","44100","3","4","34","1","440","220","1","true","NaN","1","NaN","9","29.15451895043733"
"YS","yaels","English","NA","0","44100","3","4","35","1","440","379.0545872754275","1","true","NaN","0","7","NaN","2.581174791713196"
"YS","yaels","English","NA","0","44100","3","4","36","1","440","220","1","true","NaN","1","NaN","10","20.40816326530613"
"YS","yaels","English","NA","0","44100","3","4","37","0","440","503.18594769800967","1","false","NaN","0","0","NaN","2.3230573125418768"
"YS","yaels","English","NA","0","44100","3","4","38","0","440","880","0","true","NaN","1","NaN","11","14.28571428571429"
"YS","yaels","English","NA","0","44100","3","4","39","1","440","379.0545872754275","0","false","NaN","0","0","NaN","2.581174791713196"
"YS","yaels","English","NA","0","44100","3","4","40","1","440","246.9416506280618","1","true","NaN","1","NaN","12","10.000000000000002"
"YS","yaels","English","NA","0","44100","3","4","41","1","440","372.82687456318445","1","true","NaN","0","1","NaN","2.8679719907924404"
"YS","yaels","English","NA","0","44100","3","4","42","1","440","293.6647679174074","1","true","NaN","1","NaN","13","7.000000000000001"
"YS","yaels","English","NA","0","44100","3","4","43","0","440","528.9225505640984","0","true","NaN","0","2","NaN","3.1866355453249335"
"YS","yaels","English","NA","0","44100","3","4","44","1","440","331.5370699244064","1","true","NaN","1","NaN","14","4.9"
"YS","yaels","English","NA","0","44100","3","4","45","1","440","358.61719814759437","1","true","NaN","0","3","NaN","3.5407061614721482"
"YS","yaels","English","NA","0","44100","3","4","46","1","440","360.9177733744341","1","true","NaN","1","NaN","15","3.43"
"YS","yaels","English","NA","0","44100","3","4","47","1","440","366.027123996745","1","true","NaN","0","4","NaN","3.1866355453249335"
"YS","yaels","English","NA","0","44100","3","4","48","0","440","505.4564716661748","0","true","NaN","1","NaN","16","2.401"
"YS","yaels","English","NA","0","44100","3","4","49","1","440","372.82687456318445","1","true","NaN","0","5","NaN","2.8679719907924404"
"YS","yaels","English","NA","0","44100","3","4","50","0","440","484.8578551309294","0","true","NaN","1","NaN","17","1.6806999999999999"
"YS","yaels","English","NA","0","44100","3","4","51","0","440","510.7443795669641","0","true","NaN","0","6","NaN","2.581174791713196"
"YS","yaels","English","NA","0","44100","3","4","52","1","440","411.0923971062167","1","true","NaN","1","NaN","18","1.1764899999999998"
"YS","yaels","English","NA","0","44100","3","4","53","0","440","503.18594769800967","0","true","NaN","0","7","NaN","2.3230573125418768"
"YS","yaels","English","NA","0","44100","3","4","54","1","440","419.55936007733055","1","true","NaN","1","NaN","19","0.8235429999999998"
"YS","yaels","English","NA","0","44100","3","4","55","0","440","496.4790433819191","0","true","NaN","0","8","NaN","2.090751581287689"
"YS","yaels","English","NA","0","44100","3","4","56","0","440","454.8981388562775","1","false","NaN","1","NaN","0","0.5764800999999998"
"YS","yaels","English","NA","0","44100","3","4","57","0","440","490.51929674445347","0","true","NaN","0","9","NaN","1.8816764231589203"
"YS","yaels","English","NA","0","44100","3","4","58","0","440","461.43649366877844","1","false","NaN","1","NaN","0","0.8235429999999998"
"YS","yaels","English","NA","0","44100","3","4","59","0","440","485.21671683520333","1","false","NaN","0","0","NaN","1.6935087808430282"
"YS","yaels","English","NA","0","44100","3","4","60","0","440","470.9403563841102","0","true","NaN","1","NaN","1","1.1764899999999998"
"YS","yaels","English","NA","0","44100","3","4","61","1","440","394.6837592015466","1","true","NaN","0","1","NaN","1.8816764231589203"
"YS","yaels","English","NA","0","44100","3","4","62","0","440","484.8578551309294","0","true","NaN","1","NaN","2","1.6806999999999999"
"YS","yaels","English","NA","0","44100","3","4","63","0","440","496.4790433819191","0","true","NaN","0","2","NaN","2.090751581287689"
"YS","yaels","English","NA","0","44100","3","4","64","1","440","383.020123101444","1","true","NaN","1","NaN","3","2.401"
"YS","yaels","English","NA","0","44100","3","4","65","1","440","384.7484232929934","1","true","NaN","0","3","NaN","2.3230573125418768"
"YS","yaels","English","NA","0","44100","3","4","66","0","440","484.8578551309294","0","true","NaN","1","NaN","4","1.6806999999999999"
"YS","yaels","English","NA","0","44100","3","4","67","1","440","389.94596565694724","1","true","NaN","0","4","NaN","2.090751581287689"
"YS","yaels","English","NA","0","44100","3","4","68","0","440","470.9403563841102","0","true","NaN","1","NaN","5","1.1764899999999998"
"YS","yaels","English","NA","0","44100","3","4","69","1","440","394.6837592015466","0","false","NaN","0","0","NaN","1.8816764231589203"
